Positive,,Negative,
term,count,term,count
shocking,7,overwhelmingly,1
toxic,7,painfully,1
crime,6,panicked,1
dope,6,penalize,1
dying,6,penalty,1
harassment,6,peril,1
illness,6,pernicious,1
insane,6,perplexed,1
kill,6,petty,1
lie,6,pity,1
mad,6,plight,1
mess,6,plot,1
neglect,6,plunder,1
oppression,6,poison,1
protests,6,poorer,1
squeaks,6,poorly,1
stole,6,posturing,1
tanks,6,predicament,1
threatening,6,prejudice,1
toll,6,preposterous,1
wild,6,problematic,1
worried,6,propaganda,1
worry,6,protested,1
abuse,5,protesting,1
anger,5,protracted,1
assault,5,radically,1
brutal,5,rape,1
burning,5,rebellious,1
cancer,5,recklessly,1
catastrophic,5,regret,1
congestion,5,repression,1
costly,5,repressive,1
crowded,5,repugnant,1
dark,5,resignation,1
devastating,5,revolting,1
dies,5,rival,1
dire,5,roadblocks,1
disgusting,5,rot,1
disingenuous,5,rue,1
erase,5,rumors,1
expensive,5,sacrificed,1
fraught,5,sadness,1
fuck,5,scar,1
harms,5,scare,1
inequalities,5,scars,1
inequitable,5,scary,1
infuriating,5,scrap,1
jeopardy,5,servitude,1
limits,5,setbacks,1
misfortune,5,shameful,1
mistake,5,sharply,1
oversight,5,shocked,1
pain,5,shortage,1
refused,5,skeptical,1
resigned,5,slaves,1
resistance,5,sloppy,1
ripped,5,slowly,1
severe,5,slur,1
shame,5,smell,1
slave,5,sorely,1
sorry,5,squander,1
stealing,5,squeal,1
suffered,5,stall,1
terrorism,5,stark,1
threats,5,sticky,1
trash,5,stigma,1
trouble,5,strict,1
unprepared,5,stuffy,1
worries,5,subdued,1
absentee,4,subjugation,1
absurdly,4,subservient,1
adverse,4,sucks,1
alarming,4,sued,1
antiquated,4,suffer,1
attacks,4,symptoms,1
backward,4,taunt,1
boycott,4,tense,1
broke,4,tentatively,1
chaos,4,thankless,1
clog,4,thorny,1
condemn,4,torrent,1
crashes,4,tragic,1
critics,4,traitor,1
deadly,4,transgression,1
decline,4,trap,1
delayed,4,traumatized,1
denial,4,trickery,1
despair,4,tricky,1
desperate,4,troubled,1
discomfort,4,troubles,1
divisive,4,twist,1
dripping,4,twisted,1
egregious,4,ugh,1
fail,4,ultimatum,1
fears,4,unacceptable,1
hurts,4,unavailable,1
impeach,4,uncomfortable,1
impossible,4,uncomfy,1
injustices,4,undermine,1
joke,4,undermined,1
lazy,4,undermines,1
murder,4,undermining,1
neglected,4,underpaid,1
overthrow,4,undesirable,1
partisan,4,undocumented,1
provocative,4,unethical,1
refuse,4,unexpected,1
refuses,4,unfinished,1
reject,4,unfortunate,1
scam,4,unfounded,1
steals,4,unlawful,1
stereotype,4,unnecessary,1
struck,4,unspeakable,1
struggles,4,unsure,1
suicide,4,untouched,1
syndrome,4,untrue,1
unrelenting,4,unusual,1
unrest,4,unwise,1
upset,4,unworthy,1
violation,4,vehemently,1
warning,4,vibrate,1
weakening,4,violate,1
weird,4,volatile,1
abolish,3,wasting,1
anxiety,3,weak,1
appalling,3,weakness,1
banish,3,wildly,1
bothered,3,worrisome,1
breaks,3,wound,1
catastrophe,3,wounds,1
cheap,3,zombie,1
complicit,3,,
conflict,3,,
confused,3,,
conservative,3,,
conspiracy,3,,
cracked,3,,
crushed,3,,
cry,3,,
delays,3,,
deny,3,,
desperately,3,,
disadvantaged,3,,
disappointing,3,,
disappointment,3,,
discriminatory,3,,
displaced,3,,
disrespect,3,,
dissonance,3,,
drag,3,,
epidemic,3,,
excuse,3,,
exhaustion,3,,
extremist,3,,
failures,3,,
fake,3,,
fat,3,,
fiction,3,,
fierce,3,,
fleeing,3,,
funny,3,,
gross,3,,
harmed,3,,
hedge,3,,
illegal,3,,
inadequate,3,,
indifference,3,,
infected,3,,
inhumane,3,,
invisible,3,,
jerk,3,,
lacking,3,,
leaking,3,,
limitations,3,,
loopholes,3,,
loud,3,,
lying,3,,
negative,3,,
noise,3,,
oppose,3,,
opposition,3,,
outbreak,3,,
overlook,3,,
panic,3,,
passive,3,,
pervasive,3,,
predatory,3,,
refusal,3,,
refusing,3,,
ruins,3,,
sadly,3,,
scared,3,,
scream,3,,
shit,3,,
shrug,3,,
sick,3,,
sink,3,,
split,3,,
stain,3,,
steal,3,,
strange,3,,
stranger,3,,
strike,3,,
stuck,3,,
stumbled,3,,
sue,3,,
sunk,3,,
suppression,3,,
terror,3,,
tragedy,3,,
troubling,3,,
ugly,3,,
unable,3,,
unbelievable,3,,
uncertain,3,,
unequal,3,,
unfamiliar,3,,
unfortunately,3,,
unsafe,3,,
violently,3,,
virus,3,,
warned,3,,
wedge,3,,
absurd,2,,
abusive,2,,
accuse,2,,
aggressive,2,,
allergic,2,,
ambivalent,2,,
biased,2,,
blow,2,,
boring,2,,
breach,2,,
bumps,2,,
bust,2,,
careless,2,,
cheated,2,,
chill,2,,
complaining,2,,
complaints,2,,
complicated,2,,
concede,2,,
concessions,2,,
contagious,2,,
cracks,2,,
crashed,2,,
crooked,2,,
cruel,2,,
crumbling,2,,
declining,2,,
depression,2,,
dick,2,,
disappoint,2,,
dismaying,2,,
disorder,2,,
disproportionate,2,,
distressed,2,,
doubt,2,,
drastically,2,,
elimination,2,,
embarrassing,2,,
encroachment,2,,
enemies,2,,
eviscerate,2,,
exacerbate,2,,
excuses,2,,
exhausted,2,,
expired,2,,
extremists,2,,
fatigue,2,,
fatigued,2,,
fearful,2,,
flee,2,,
fragile,2,,
fraud,2,,
freaking,2,,
frightening,2,,
frozen,2,,
frustrated,2,,
frustration,2,,
giddy,2,,
grapple,2,,
grievance,2,,
grieving,2,,
grind,2,,
hangs,2,,
hardship,2,,
hazardous,2,,
heck,2,,
hollow,2,,
hostile,2,,
hurting,2,,
idiocy,2,,
inappropriate,2,,
incitement,2,,
inclement,2,,
incomparable,2,,
ineligible,2,,
inevitable,2,,
inevitably,2,,
inflated,2,,
insidious,2,,
interrupt,2,,
intimidate,2,,
ironic,2,,
